FA1,GGBS,SF,MK,FA2,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.0,0.0,0.0,0.0,28.0,20,52.3
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,6.0,86.1,28.0,20,54.73
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,6.0,86.1,28.0,20,56.23
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,6.0,86.1,28.0,20,53.67
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,12.0,86.1,28.0,20,54.41
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,12.0,86.1,28.0,20,57.02
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,12.0,86.1,28.0,20,54.14
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,18.0,86.1,28.0,20,52.67
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,18.0,86.1,28.0,20,51.43
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,18.0,86.1,28.0,20,48.63
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,0.0,0.0,0.0,0.0,28.0,20,53.0
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,0.5,0.55,35.0,210.0,28.0,20,52.4
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,0.5,0.55,35.0,210.0,28.0,20,52.4
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,0.5,0.3,48.0,10.0,28.0,20,50.0
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,1.0,0.3,48.0,10.0,28.0,20,51.1
240.0,160.0,0.0,0.0,630.0,1100.0,12.0,69.0,172.0,0.0,0.0,0.0,0.0,0.0,28.0,20,65.0
240.0,160.0,0.0,0.0,630.0,1100.0,12.0,69.0,172.0,0.0,0.5,0.85,65.0,3.0,28.0,20,59.0
0.0,315.0,0.0,135.0,750.0,610.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20,25.8
0.0,315.0,0.0,135.0,750.0,610.0,14.0,2.0,0.0,0.0,0.5,0.8,35.0,205.0,28.0,20,29.8
0.0,315.0,0.0,135.0,750.0,610.0,14.0,2.0,0.0,0.0,1.0,0.8,35.0,205.0,28.0,20,30.1
0.0,315.0,0.0,135.0,750.0,610.0,14.0,2.0,0.0,0.0,1.5,0.8,35.0,205.0,28.0,20,30.8
565.6,99.8,31.6,0.0,1331.0,0.0,14.0,66.4,16.8,182.9,1.5,0.04,12.0,41.0,28.0,20,5.3
565.6,99.8,31.6,0.0,1331.0,0.0,14.0,66.4,16.8,182.9,1.5,0.04,12.0,41.0,28.0,20,17.8
549.7,97.0,37.2,0.0,1293.0,0.0,14.0,76.3,14.9,178.6,1.5,0.04,12.0,41.0,28.0,20,34.7
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,1.5,0.04,12.0,41.0,28.0,20,41.4
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,1.5,0.04,12.0,41.0,7.0,20,21.9
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,0.0,0.0,0.0,0.0,28.0,20,49.6
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,0.0,0.0,0.0,0.0,7.0,20,25.2
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,0.0,0.0,0.0,0.0,84.0,20,57.4
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,1.5,0.04,12.0,41.0,28.0,20,41.0
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,3.0,0.04,12.0,41.0,28.0,20,39.5
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,4.5,0.04,12.0,41.0,28.0,20,44.9
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,1.5,0.04,12.0,41.0,7.0,20,24.1
431.0,287.0,42.0,0.0,1182.0,0.0,14.0,67.0,0.0,206.0,1.5,0.04,12.0,41.0,84.0,20,49.0
0.0,1175.0,176.0,0.0,216.0,0.0,14.0,63.0,190.0,396.0,2.0,0.2,19.5,205.0,28.0,20,139.0
0.0,1062.0,159.0,0.0,391.0,0.0,14.0,56.0,168.0,349.0,2.0,0.2,19.5,205.0,28.0,20,142.1
0.0,971.0,146.0,0.0,536.0,0.0,14.0,50.0,151.0,315.0,2.0,0.2,19.5,205.0,28.0,20,145.5
0.0,895.0,134.0,0.0,659.0,0.0,14.0,47.0,140.0,291.0,2.0,0.2,19.5,205.0,28.0,20,146.9
0.0,831.0,125.0,0.0,764.0,0.0,14.0,43.0,130.0,270.0,2.0,0.2,19.5,205.0,28.0,20,160.7
0.0,860.0,285.0,0.0,850.0,0.0,14.0,14.0,49.0,0.0,1.0,0.12,15.0,230.0,28.0,20,140.0
0.0,860.0,285.0,0.0,850.0,0.0,14.0,14.0,49.0,0.0,1.25,0.12,15.0,230.0,28.0,20,147.0
0.0,860.0,285.0,0.0,850.0,0.0,14.0,14.0,49.0,0.0,1.5,0.12,15.0,230.0,28.0,20,144.0
0.0,860.0,285.0,0.0,850.0,0.0,14.0,14.0,49.0,0.0,1.75,0.12,15.0,230.0,28.0,20,152.0
0.0,860.0,285.0,0.0,850.0,0.0,14.0,14.0,49.0,0.0,2.0,0.12,15.0,230.0,28.0,20,150.0
0.0,860.0,285.0,0.0,850.0,0.0,14.0,14.0,49.0,0.0,2.25,0.12,15.0,230.0,28.0,20,162.0
492.0,0.0,0.0,0.0,662.0,1324.0,10.0,123.3,246.6,0.0,0.0,0.0,0.0,0.0,28.0,20,43.2
492.0,0.0,0.0,0.0,662.0,1324.0,10.0,123.3,246.6,0.0,0.25,0.3,20.0,1.0,28.0,20,44.91
492.0,0.0,0.0,0.0,662.0,1324.0,10.0,123.3,246.6,0.0,0.5,0.3,20.0,1.0,28.0,20,46.43
492.0,0.0,0.0,0.0,662.0,1324.0,10.0,123.3,246.6,0.0,0.75,0.3,20.0,1.0,28.0,20,48.0
492.0,0.0,0.0,0.0,662.0,1324.0,10.0,123.3,246.6,0.0,1.0,0.3,20.0,1.0,28.0,20,48.1
492.0,0.0,0.0,0.0,662.0,1324.0,10.0,123.3,246.6,0.0,1.25,0.3,20.0,1.0,28.0,20,49.44
492.0,0.0,0.0,0.0,662.0,1324.0,10.0,123.3,246.6,0.0,1.5,0.3,20.0,1.0,28.0,20,46.21
252.0,168.0,0.0,0.0,550.0,1220.0,14.0,66.0,165.0,0.0,0.0,0.0,0.0,0.0,28.0,20,55.0
252.0,168.0,0.0,0.0,550.0,1220.0,14.0,66.0,165.0,0.0,0.25,14.5,14.0,120.0,28.0,20,46.0
252.0,168.0,0.0,0.0,550.0,1220.0,14.0,66.0,165.0,0.0,0.5,14.5,14.0,120.0,28.0,20,57.0
252.0,168.0,0.0,0.0,550.0,1220.0,14.0,66.0,165.0,0.0,0.75,14.5,14.0,120.0,28.0,20,60.0
340.0,60.0,0.0,0.0,795.0,963.0,14.0,51.3,128.7,38.6,0.0,0.0,0.0,0.0,28.0,20,50.4
340.0,60.0,0.0,0.0,795.0,963.0,14.0,51.3,128.7,38.6,0.5,0.022,18.0,3.5,28.0,20,48.0
340.0,60.0,0.0,0.0,795.0,963.0,14.0,51.3,128.7,38.6,0.5,0.022,19.0,3.5,28.0,20,47.3
340.0,60.0,0.0,0.0,795.0,963.0,14.0,51.3,128.7,38.6,0.5,0.022,51.0,3.5,28.0,20,47.3
635.0,0.0,0.0,0.0,635.0,315.0,14.0,226.78,90.71,50.0,0.0,0.0,0.0,0.0,28.0,20,25.92
635.0,0.0,0.0,0.0,635.0,315.0,14.0,226.78,90.71,50.0,0.5,12.0,35.0,205.0,28.0,20,27.79
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,14.5,0.0,0.0,0.0,0.0,28.0,20,37.0
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,16.0,0.25,0.5,30.0,205.0,28.0,20,38.4
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,16.0,0.5,0.5,30.0,205.0,28.0,20,41.2
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,18.0,0.75,0.5,30.0,205.0,28.0,20,42.5
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,18.0,1.0,0.5,30.0,205.0,28.0,20,43.8
416.5,0.0,0.0,0.0,555.0,1309.0,14.0,42.0,104.0,20.0,0.15,0.012,12.0,80.0,7.0,20,41.5
416.0,0.0,0.0,0.0,554.0,1307.0,14.0,42.0,104.0,22.0,0.3,0.012,12.0,80.0,7.0,20,42.0
415.0,0.0,0.0,0.0,553.0,1305.0,14.0,42.0,104.0,24.0,0.5,0.012,12.0,80.0,7.0,20,42.6
416.0,0.0,0.0,0.0,554.0,1309.0,14.0,42.0,104.0,20.0,0.25,0.5,25.0,205.0,7.0,20,40.7
